time,open,high,low,close,Volume,Volume MA
2024-01-16T10:00:00-06:00,43202.5,43426.85,43023.85,43277.12,26.19922,14.567427499643932
2024-01-16T11:00:00-06:00,43283.49,43283.49,43052.8,43071.81,8.93728,14.586307499643931
2024-01-16T12:00:00-06:00,43068.26,43176.73,42847.35,43044.29,12.53571,14.007832999643929
2024-01-16T13:00:00-06:00,43066.78,43215.36,43007.21,43196.39,8.66882,14.004124499643927
2024-01-16T14:00:00-06:00,43205.06,43409.63,43099,43229.03,12.93917,14.381672499643926
2024-01-16T15:00:00-06:00,43245.32,43600.14,43231.22,43443.1,14.81837,14.84454649964393
2024-01-16T16:00:00-06:00,43464.25,43507.22,43238.66,43238.66,8.37575,15.148452499643927
2024-01-16T17:00:00-06:00,43245.5,43329.58,43153.61,43187.86,3.95739,14.981180999643925
2024-01-16T18:00:00-06:00,43179.34,43217.03,43091.17,43140.74,2.46801,14.971585999643924
2024-01-16T19:00:00-06:00,43122.89,43233.01,42993.9,43016.92,4.93208,15.018935499643922
2024-01-16T20:00:00-06:00,43032.15,43083.25,42950.93,43015.37,4.09032,15.012478999643923
2024-01-16T21:00:00-06:00,43021.91,43042.39,42865.26,42867.65,2.39052,13.571339499643923
2024-01-16T22:00:00-06:00,42875.16,42934.55,42795.75,42884.72,2.98293,12.826569499643924
2024-01-16T23:00:00-06:00,42870,42922.54,42781.16,42804.2,2.42537,11.881780499643924
2024-01-17T00:00:00-06:00,42813.47,42890.35,42804.37,42830.48,2.27127,11.720803999643923
2024-01-17T01:00:00-06:00,42843.44,42890.45,42662.99,42681.36,15.00647,12.076643499643923
2024-01-17T02:00:00-06:00,42686.19,42795.82,42603.7,42759.68,7.11104,11.849138999643923
2024-01-17T03:00:00-06:00,42753.74,42872.31,42714.84,42714.84,13.58841,11.252060999643925
2024-01-17T04:00:00-06:00,42730.35,42878.88,42669.68,42874.17,16.71074,9.819738499643924
2024-01-17T05:00:00-06:00,42863.49,42871.84,42684.08,42696.92,13.10425,9.175655999643924
2024-01-17T06:00:00-06:00,42688.88,42812.53,42446.19,42804.77,25.59902,9.145645999643923
2024-01-17T07:00:00-06:00,42791.3,42791.3,42537.78,42635.01,17.94943,9.596253499643925
2024-01-17T08:00:00-06:00,42627.03,42941.91,42407.21,42587.02,35.21873,10.730404499643925
2024-01-17T09:00:00-06:00,42614.57,42773.22,42502.13,42503.22,23.37188,11.465557499643925
2024-01-17T10:00:00-06:00,42514.89,42565.31,42257.04,42370.41,28.49241,12.243219499643924
2024-01-17T11:00:00-06:00,42371.5,42477.95,42221.84,42387.52,21.29451,12.567026499643926
2024-01-17T12:00:00-06:00,42380.64,42614.02,42282.48,42610.87,13.8184,12.839158999643924
2024-01-17T13:00:00-06:00,42615.82,42755.05,42569.4,42624.68,11.42874,13.212726499643924
2024-01-17T14:00:00-06:00,42617.21,42892.68,42577.18,42718.61,13.29722,13.754186999643924
2024-01-17T15:00:00-06:00,42731.47,42831.93,42626.31,42687,10.78514,14.046839999643925
2024-01-17T16:00:00-06:00,42692.35,42745.12,42459.95,42714.11,5.29076,14.106861999643922
2024-01-17T17:00:00-06:00,42737,42802.65,42624.9,42795.42,8.62328,14.418499999643924
2024-01-17T18:00:00-06:00,42792.67,42795.37,42624.92,42662.1,5.81397,14.560051999643923
2024-01-17T19:00:00-06:00,42682.2,42720.88,42508.3,42587.36,2.70072,14.573819499643923
2024-01-17T20:00:00-06:00,42588.06,42725.02,42588.06,42652,1.71514,14.546012999643924
2024-01-17T21:00:00-06:00,42652.27,42669.01,42551.24,42592.42,1.96942,13.894160499643926
2024-01-17T22:00:00-06:00,42585.38,42685.16,42585.38,42657.62,2.57208,13.667212499643927
2024-01-17T23:00:00-06:00,42656.99,42783.21,42621.94,42772.07,4.88306,13.231944999643925
2024-01-18T00:00:00-06:00,42783.19,42872.27,42757.22,42794.21,10.42425,12.917620499643926
2024-01-18T01:00:00-06:00,42788.08,42923.24,42788.08,42882.6,9.77548,12.751181999643924
2024-01-18T02:00:00-06:00,42881.79,42899.39,42714.39,42733.57,11.46638,12.044549999643923
2024-01-18T03:00:00-06:00,42728.77,42872.87,42711.46,42750.22,14.37491,11.865823999643924
2024-01-18T04:00:00-06:00,42746.9,42805.1,42422.17,42479.76,23.42732,11.276253499643925
2024-01-18T05:00:00-06:00,42469.54,42575.1,42400.22,42571.87,28.29149,11.522233999643925
2024-01-18T06:00:00-06:00,42571.99,42571.99,42385.99,42448.67,14.51977,10.823601999643923
2024-01-18T07:00:00-06:00,42445.56,42659.38,42377.6,42533.78,19.82338,10.750045499643923
2024-01-18T08:00:00-06:00,42506.72,42744.54,42444.3,42743.58,20.32565,11.075407999643923
2024-01-18T09:00:00-06:00,42747.62,42816.2,42624.22,42632.17,15.1566,11.261800999643922
2024-01-18T10:00:00-06:00,42629.8,42632.25,41743.18,41940.74,57.80864,13.487371999643921
2024-01-18T11:00:00-06:00,41918,42151.02,41486.71,41794.59,38.02276,14.84925299964392
2024-01-18T12:00:00-06:00,41786.51,41887.49,41375,41493.32,26.98335,15.93388249964392
2024-01-18T13:00:00-06:00,41488.74,41578.28,40840.74,41029.97,74.24166,19.21480149964392
2024-01-18T14:00:00-06:00,41014.65,41297.26,40654.06,40819.66,55.49578,21.698891999643923
2024-01-18T15:00:00-06:00,40834.95,41256.4,40747.17,41120.16,29.3774,23.032725999643922
2024-01-18T16:00:00-06:00,41106.31,41365.25,41063.67,41350.83,8.12298,23.35311799964392
2024-01-18T17:00:00-06:00,41361.37,41369.6,41204.13,41334.22,6.49891,23.579592499643923
2024-01-18T18:00:00-06:00,41341.55,41384.24,41110.07,41301.98,8.95061,23.89851899964392
2024-01-18T19:00:00-06:00,41300.1,41329.11,41139.69,41271.35,7.36647,24.02268949964392
2024-01-18T20:00:00-06:00,41277.04,41312.33,41086.43,41117.8,5.33726,23.76833999964392
2024-01-18T21:00:00-06:00,41120.47,41147.86,40752.34,41060.3,14.89739,24.02443549964392
2024-01-18T22:00:00-06:00,41061.51,41210.05,41039.29,41101.34,4.79585,23.690908999643916
2024-01-18T23:00:00-06:00,41099.46,41236.2,41056.2,41214.67,4.1681,23.18056849964392
2024-01-19T00:00:00-06:00,41217.3,41509.47,41202.9,41464.49,15.16837,22.767620999643917
2024-01-19T01:00:00-06:00,41478.24,41569.24,41256.24,41268.87,15.43864,22.124978499643916
2024-01-19T02:00:00-06:00,41262.38,41374.64,41141.28,41278.32,17.07618,22.252798999643918
